rowKey,B0,Binteraction
"B E_11_afterSchool",.1609676,.0447122
"SCHOOL YEAR CLUSTERED SE E_11_afterSchool",,.0402394
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B E_12_afterSchool",.1730763,.0398383
"SCHOOL YEAR CLUSTERED SE E_12_afterSchool",,.0368516
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B A_11_afterSchool",-.0342598,.0666595
"SCHOOL YEAR CLUSTERED SE A_11_afterSchool",,.0361435
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B A_12_afterSchool",-.0310024,.0661672
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",,.0344557
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B B_11_afterSchool",.091461,-.0234846
"SCHOOL YEAR CLUSTERED SE B_11_afterSchool",,.0310681
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B B_12_afterSchool",.0943672,-.0295062
"SCHOOL YEAR CLUSTERED SE B_12_afterSchool",,.0288996
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B educ_11_afterSchool",-.0290057,.2751534
"SCHOOL YEAR CLUSTERED SE educ_11_afterSchool",,.1365579
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B educ_12_afterSchool",-.037242,.2684995
"SCHOOL YEAR CLUSTERED SE educ_12_afterSchool",,.1401566
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B uni_11_afterSchool",-.2665081,.3444979
"SCHOOL YEAR CLUSTERED SE uni_11_afterSchool",,.153723
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B uni_12_afterSchool",-.2711932,.3482827
"SCHOOL YEAR CLUSTERED SE uni_12_afterSchool",,.1569651
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B col_11_afterSchool",.2482713,-.0445351
"SCHOOL YEAR CLUSTERED SE col_11_afterSchool",,.0719118
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
"B col_12_afterSchool",.2336513,-.0469501
"SCHOOL YEAR CLUSTERED SE col_12_afterSchool",,.0708337
"",,
"N OBS NE_treated_before",1481,
"N OBS NE",5891,
"Weighted N OBS NE+treated_before",2317,
"Weighted N OBS NE",9065,
"",,
