rowKey,B0,num_obs
"B A",.048403,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0187163,15903
"B uni",.2499455,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.094234,15903
"B B",-.026032,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0193598,15903
"B col",-.0719647,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0520412,15903
"B E",.0280154,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0197193,15903
"B educ",.1700762,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0891534,15903
"B wages",5851.451,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",2792.985,15903
"B work",.0104258,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0128932,15903
"B pwages",2.637507,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",1.210117,15903
"B avt",.0000223,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0149721,15903
"B avt_tot",37.16481,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",160.1349,15903
"B months",.3206736,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.1719777,15903
"B married",-.0040905,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0183673,15903
"B kids",-.0027217,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0154272,15903
"B yeladim",-.0159055,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0471283,15903
"B age_at_marriage_y",-.3397059,8408
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.1955533,8408
"B age_at_marriage",-.3397059,8408
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.1955533,8408
"B age_first_birth_y",-.3143181,6385
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.214589,6385
"B age_at_first_birth",-.3143181,6385
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.214589,6385
