rowKey,B0,num_obs
"B A",.060383,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0204198,11561
"B uni",.2424502,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.1026242,11561
"B B",-.0174465,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0260242,11561
"B col",-.0473553,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0656419,11561
"B E",.0414382,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0223871,11561
"B educ",.1907621,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0919631,11561
"B wages",6731.499,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",3463.021,11561
"B work",.0082472,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0100495,11561
"B pwages",3.017618,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",1.423065,11561
"B avt",-.0037686,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0189344,11561
"B avt_tot",-111.7395,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",186.3111,11561
"B months",.3933688,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.1638035,11561
"B married",-.021684,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0214944,11561
"B kids",-.0049287,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0178794,11561
"B yeladim",.0104581,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0578803,11561
"B age_at_marriage_y",-.5234265,6128
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2223682,6128
"B age_at_marriage",-.5234265,6128
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.2223682,6128
"B age_first_birth_y",-.5524586,4685
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2264712,4685
"B age_at_first_birth",-.5524586,4685
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2264712,4685
