rowKey,no_weights99,weights99,no_weights02,weights02
MEAN A2011,0.0322749,0.001,0.098,0.054
CLUSTERED SCHOOL SE A2011,0.0305468,0.026,0.038,0.031
MEAN A2013,0.0356615,0.004,0.103,0.058
CLUSTERED SCHOOL SE A2013,0.0318448,0.026,0.040,0.032
MEAN B2011,-0.0054584,-0.008,-0.010,-0.001
CLUSTERED SCHOOL SE B2011,0.0239925,0.034,0.022,0.028
MEAN B2013,0.0020183,-0.001,-0.008,-0.002
CLUSTERED SCHOOL SE B2013,0.0241273,0.034,0.024,0.030
MEAN uni2011,0.1255041,0.061,0.335,0.224
CLUSTERED SCHOOL SE uni2011,0.1313024,0.128,0.134,0.107
MEAN uni2013,0.1402376,0.070,0.390,0.260
CLUSTERED SCHOOL SE uni2013,0.140649,0.137,0.156,0.128
MEAN col2011,0.0381441,0.007,0.058,0.087
CLUSTERED SCHOOL SE col2011,0.0711946,0.098,0.055,0.072
MEAN col2013,0.0449872,0.005,0.035,0.067
CLUSTERED SCHOOL SE col2013,0.0766593,0.104,0.066,0.086
MEAN work_2010a,-0.0518432,-0.038,-0.050,-0.047
CLUSTERED SCHOOL SE work_2010a,0.020942,0.013,0.020,0.021
MEAN work_2012a,-0.0476042,-0.028,-0.042,-0.033
CLUSTERED SCHOOL SE work_2012a,0.019929,0.014,0.023,0.023
MEAN sum_wage_2010a,-6330.966,-3293.177,-6623.379,-5773.438
CLUSTERED SCHOOL SE sum_wage_2010a,3842.768,2617.752,1818.834,1662.341
MEAN sum_wage_2012a,-2449.208,-792.736,-5994.479,-5374.295
CLUSTERED SCHOOL SE sum_wage_2012a,3204.675,2169.594,2598.611,2409.244
MEAN sum_month_2010a,-0.7816288,-0.409,-0.686,-0.544
CLUSTERED SCHOOL SE sum_month_2010a,0.3099425,0.160,0.224,0.266
MEAN sum_month_2012a,-0.5717437,-0.342,-0.646,-0.513
CLUSTERED SCHOOL SE sum_month_2012a,0.241771,0.191,0.260,0.270
MEAN psum_wage_2010a,-4.082032,-2.373,-5.397,-4.563
CLUSTERED SCHOOL SE psum_wage_2010a,2.062007,1.298,1.627,1.658
MEAN psum_wage_2012a,-2.336385,-1.114,-4.867,-3.690
CLUSTERED SCHOOL SE psum_wage_2012a,1.614524,1.163,1.769,1.744
