rowKey,estimated_effect,Clustered_se,Boot_se,boot_t_statistic,boot_pval,boot_conf_l,boot_conf_h,N_obvs
"B A",.048403,.0187163,.0235662,2.053917,.04,.0080667,.0806838,15903
"B uni",.2499455,.094234,.1313119,1.903449,.057,.0368654,.4201494,15903
"B B",-.026032,.0193598,.0230617,1.128798,.259,-.0597084,.0146047,15903
"B col",-.0719647,.0520412,.0646955,1.11236,.266,-.1623775,.0360834,15903
"B E",.0280154,.0197193,.0210384,1.331633,.183,-.0083592,.0606424,15903
"B educ",.1700762,.0891534,.1043045,1.630574,.103,-.0007926,.3158621,15903
"B wages",5851.451,2792.985,3217.659,1.818543,.069,646.302,10307.29,15903
"B work",.0104258,.0128932,.0139237,.7487815,.454,-.011613,.0326159,15903
"B pwages",2.637507,1.210117,1.380044,1.911175,.056,.4250102,4.635327,15903
"B avt",.0000223,.0149721,,0,1,-.0312586,.0284534,15903
"B avt_tot",37.16481,160.1349,178.4225,.2082967,.835,-280.977,304.9047,15903
"B months",.3206736,.1719777,.1989394,1.611916,.107,-.0064962,.6166107,15903
"B married",-.0040905,.0183673,.019166,.2134227,.831,-.0394134,.0265299,15903
"B kids",-.0027217,.0154272,.0157724,.1725594,.863,-.0314778,.0248163,15903
"B yeladim",-.0159055,.0471283,.0511853,.3107431,.756,-.0965963,.0770024,15903
"B age_at_marriage_y",-.3397059,.1955533,.2119355,1.602874,.109,-.6862668,.013508,8408
"B age_at_marriage",-.3397059,.1955533,.2119355,1.602874,.109,-.6862668,.013508,8408
"B age_first_birth_y",-.3143181,.214589,.2311818,1.359615,.174,-.6977922,.081339,6385
"B age_at_first_birth",-.3143181,.214589,.2311818,1.359615,.174,-.6977922,.081339,6385
