rowKey,estimated_effect,Clustered_se,Boot_se,boot_t_statistic,boot_pval,boot_conf_l,boot_conf_h,N_obvs
"B A",.060383,.0204198,.0283177,2.132339,.033,.0185798,.0958611,11561
"B uni",.2424502,.1026242,.1434373,1.690287,.091,.0113924,.4074865,11561
"B B",-.0174465,.0260242,.0320321,.5446569,.586,-.0599982,.0423247,11561
"B col",-.0473553,.0656419,.0883568,.535955,.592,-.1599472,.0984572,11561
"B E",.0414382,.0223871,.023824,1.739349,.082,.0023403,.0816004,11561
"B educ",.1907621,.0919631,.0981622,1.943335,.052,.0360822,.3501484,11561
"B wages",6731.499,3463.021,4152.146,1.62121,.105,-96.23513,13015.7,11561
"B work",.0082472,.0100495,.0094533,.8724153,.383,-.0079603,.0275336,11561
"B pwages",3.017618,1.423065,1.512129,1.995608,.046,.5843529,5.71786,11561
"B avt",-.0037686,.0189344,.0186658,.201898,.84,-.0486863,.0320693,11561
"B avt_tot",-111.7395,186.3111,199.8014,.5592529,.576,-508.0119,193.3383,11561
"B months",.3933688,.1638035,.200681,1.960169,.05,.0695534,.6643516,11561
"B married",-.021684,.0214944,.0250125,.866927,.386,-.0669356,.0146601,11561
"B kids",-.0049287,.0178794,.0185976,.2650184,.791,-.0366337,.0284158,11561
"B yeladim",.0104581,.0578803,.0644004,.162392,.871,-.0831689,.1524246,11561
"B age_at_marriage_y",-.5234265,.2223682,.241144,2.170597,.03,-.9648417,-.1258635,6128
"B age_at_marriage",-.5234265,.2223682,.241144,2.170597,.03,-.9648417,-.1258635,6128
"B age_first_birth_y",-.5524586,.2264712,.2373974,2.327146,.02,-.9974523,-.15849,4685
"B age_at_first_birth",-.5524586,.2264712,.2373974,2.327146,.02,-.9974523,-.15849,4685
